author,year,doi,shape,measure,height,lat,lon,start_date,end_date,duration,number,number_units,n_obs,n_loc,size_min,size_max,size_units,obs_size_min,obs_size_max,mass,mass_units,alpha,c,c_units,shape_factor,density,density_units,ng/particle
Allen,2020,https://doi.org/10.1371/journal.pone.0232746,fragment,concentration,,44.21666666666667,-1.283333333333333,2018-10-05,2018-10-13,8 days,19910.885866640125,particle/m3,8,1,0.0871,100.0,µm,10.0,1000.0,0.015836546902516607,µg/m3,2.7,534.0391495425713,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695925
Allen,2021,https://doi.org/10.1038/s41467-021-27454-7,fragment,concentration,,42.936802,0.14117,2017-06-23,2017-10-23,97 days,520.7870461692735,particle/m3,15,1,0.0871,100.0,µm,10.0,1000.0,0.0004142190627841968,µg/m3,2.7,13.968272084518674,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-73.86,76.97,2020-01-21,2020-01-30,8 days,3.806477193181516,particle/m3,2,1,0.0871,100.0,µm,10.0,1000.0,3.0275626612966513e-06,µg/m3,2.7,0.10209529885386653,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-69.3,76.23,2019-11-22,2019-11-25,3 days,6.789932290539941,particle/m3,1,1,0.0871,100.0,µm,10.0,1000.0,5.400517179610194e-06,µg/m3,2.7,0.18211593849608462,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-68.97,76.42,2019-11-20,2019-11-22,2 days,6.789932290539941,particle/m3,1,1,0.0871,100.0,µm,10.0,1000.0,5.400517179610194e-06,µg/m3,2.7,0.18211593849608462,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-65.62,77.77,2019-11-18,2019-11-20,2 days,8.847487530097506,particle/m3,1,1,0.0871,100.0,µm,10.0,1000.0,7.037037537067835e-06,µg/m3,2.7,0.23730258652520142,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-65.42,82.0,2020-03-12,2020-03-14,2 days,5.966910194716851,particle/m3,1,1,0.0871,100.0,µm,10.0,1000.0,4.745909036627087e-06,µg/m3,2.7,0.1600412792844362,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-65.22,152.27,2020-03-20,2020-03-24,4 days,35.59570564434652,particle/m3,2,2,0.0871,100.0,µm,10.0,1000.0,2.8311802184017692e-05,µg/m3,2.7,0.9547290109037371,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-64.04,103.43,2020-03-14,2020-03-16,2 days,1.028777619778625,particle/m3,1,1,0.0871,100.0,µm,10.0,1000.0,8.182601787286947e-07,µg/m3,2.7,0.027593324014554145,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695925
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-64.39,128.36,2020-03-16,2020-03-18,2 days,3.7035994312034304,particle/m3,1,1,0.0871,100.0,µm,10.0,1000.0,2.945736643423604e-06,µg/m3,2.7,0.09933596645240514,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-64.74,146.33,2020-03-18,2020-03-20,2 days,0.8230220958227729,particle/m3,1,1,0.0871,100.0,µm,10.0,1000.0,6.546081429828547e-07,µg/m3,2.7,0.022074659211639907,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695925
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-61.65,89.95,2019-11-16,2019-11-18,2 days,22.015841063266322,particle/m3,1,1,0.0871,100.0,µm,10.0,1000.0,1.751076782479705e-05,µg/m3,2.7,0.5904971339115592,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
