author,year,doi,shape,measure,height,lat,lon,start_date,end_date,duration,number,number_units,n_obs,n_loc,size_min,size_max,size_units,obs_size_min,obs_size_max,mass,mass_units,alpha,c,c_units,shape_factor,density,density_units,ng/particle
Allen,2020,https://doi.org/10.1371/journal.pone.0232746,fragment,concentration,,44.21666666666667,-1.283333333333333,2018-10-05,2018-10-13,8 days,64748.65462695972,particle/m3,8,1,0.0871,100.0,µm,20.0,1000.0,0.051499220714870564,µg/m3,2.7,1736.6538426570864,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Allen,2021,https://doi.org/10.1038/s41467-021-27454-7,fragment,concentration,,42.936802,0.14117,2017-06-23,2017-10-23,97 days,1693.5590316001826,particle/m3,15,1,0.0871,100.0,µm,20.0,1000.0,0.0013470082253373228,µg/m3,2.7,45.4237360905791,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695925
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-73.86,76.97,2020-01-21,2020-01-30,8 days,12.378368234215527,particle/m3,2,1,0.0871,100.0,µm,20.0,1000.0,9.84539866436667e-06,µg/m3,2.7,0.3320059835007602,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-69.3,76.23,2019-11-22,2019-11-25,3 days,22.080332525897767,particle/m3,1,1,0.0871,100.0,µm,20.0,1000.0,1.756206248238363e-05,µg/m3,2.7,0.5922268894878372,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695925
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-68.97,76.42,2019-11-20,2019-11-22,2 days,22.080332525897767,particle/m3,1,1,0.0871,100.0,µm,20.0,1000.0,1.756206248238363e-05,µg/m3,2.7,0.5922268894878372,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695925
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-65.62,77.77,2019-11-18,2019-11-20,2 days,28.771342382230458,particle/m3,1,1,0.0871,100.0,µm,20.0,1000.0,2.2883899598257484e-05,µg/m3,2.7,0.7716895832720312,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695925
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-65.42,82.0,2020-03-12,2020-03-14,2 days,19.40392858336449,particle/m3,1,1,0.0871,100.0,µm,20.0,1000.0,1.5433327636033927e-05,µg/m3,2.7,0.5204418119741542,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695925
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-65.22,152.27,2020-03-20,2020-03-24,4 days,115.75447051455748,particle/m3,2,2,0.0871,100.0,µm,20.0,1000.0,9.206778210461923e-05,µg/m3,2.7,3.104704602466608,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-64.04,103.43,2020-03-14,2020-03-16,2 days,3.345504928165828,particle/m3,1,1,0.0871,100.0,µm,20.0,1000.0,2.6609185579365157e-06,µg/m3,2.7,0.08973134689208312,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-64.39,128.36,2020-03-16,2020-03-18,2 days,12.04381774139822,particle/m3,1,1,0.0871,100.0,µm,20.0,1000.0,9.579306808572442e-06,µg/m3,2.7,0.3230328488115325,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-64.74,146.33,2020-03-18,2020-03-20,2 days,2.6764039425322492,particle/m3,1,1,0.0871,100.0,µm,20.0,1000.0,2.1287348463488844e-06,µg/m3,2.7,0.07178507751365541,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695928
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-61.65,89.95,2019-11-16,2019-11-18,2 days,71.59380546276091,particle/m3,1,1,0.0871,100.0,µm,20.0,1000.0,5.6943657139851134e-05,µg/m3,2.7,1.9202508234909057,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-60.89,109.6,2019-11-14,2019-11-16,2 days,109.73256164385839,particle/m3,1,1,0.0871,100.0,µm,20.0,1000.0,8.727812870033301e-05,µg/m3,2.7,2.943188178060842,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-60.34,129.58,2019-11-12,2019-11-14,2 days,43.491564066162994,particle/m3,1,1,0.0871,100.0,µm,20.0,1000.0,3.4591941253180454e-05,µg/m3,2.7,1.1665075095972746,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-54.24,144.16,2019-11-10,2019-11-12,2 days,65.57189659206179,particle/m3,1,1,0.0871,100.0,µm,20.0,1000.0,5.215400373556491e-05,µg/m3,2.7,1.7587343990851394,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-45.85,147.42,2019-11-07,2019-11-10,3 days,201.39939667561836,particle/m3,1,1,0.0871,100.0,µm,20.0,1000.0,0.0001601872971878065,µg/m3,2.7,5.401827082904357,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-44.41,150.09,2020-04-02,2020-04-04,2 days,10.036514784498516,particle/m3,1,1,0.0871,100.0,µm,20.0,1000.0,7.982755673810369e-06,µg/m3,2.7,0.26919404067627706,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-34.27,153.05,2020-04-04,2020-04-06,2 days,40.14605913799717,particle/m3,1,1,0.0871,100.0,µm,20.0,1000.0,3.193102269524395e-05,µg/m3,2.7,1.0767761627051915,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-24.05,155.57,2020-04-06,2020-04-08,2 days,61.55729067826136,particle/m3,1,1,0.0871,100.0,µm,20.0,1000.0,4.896090146603995e-05,µg/m3,2.7,1.651056782814601,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-13.66,155.27,2020-04-08,2020-04-10,2 days,52.85897786502896,particle/m3,1,1,0.0871,100.0,µm,20.0,1000.0,4.2042513215404014e-05,µg/m3,2.7,1.4177552808951515,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-4.71,152.56,2020-04-10,2020-04-12,2 days,531.9352835784617,particle/m3,1,1,0.0871,100.0,µm,20.0,1000.0,0.0004230860507119816,µg/m3,2.7,14.267284155843766,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695925
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,5.12,146.94,2020-04-12,2020-04-14,2 days,74.93931039092776,particle/m3,1,1,0.0871,100.0,µm,20.0,1000.0,5.960457569778847e-05,µg/m3,2.7,2.0099821703830165,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,12.79,139.81,2020-04-14,2020-04-16,2 days,22.080332525897767,particle/m3,1,1,0.0871,100.0,µm,20.0,1000.0,1.756206248238363e-05,µg/m3,2.7,0.5922268894878372,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695925
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,18.67,134.05,2020-04-16,2020-04-18,2 days,48.17527096559598,particle/m3,1,1,0.0871,100.0,µm,20.0,1000.0,3.8317227234292234e-05,µg/m3,2.7,1.292131395246213,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,24.97,128.18,2020-04-18,2020-04-20,2 days,65.57189659206179,particle/m3,1,1,0.0871,100.0,µm,20.0,1000.0,5.215400373556491e-05,µg/m3,2.7,1.7587343990851394,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,30.2,123.06,2020-04-20,2020-04-22,2 days,5.352807885065531,particle/m3,1,1,0.0871,100.0,µm,20.0,1000.0,4.25746969269859e-06,µg/m3,2.7,0.14357015502733853,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
