author,year,doi,shape,measure,height,lat,lon,start_date,end_date,duration,number,number_units,n_obs,n_loc,size_min,size_max,size_units,obs_size_min,obs_size_max,mass,mass_units,alpha,c,c_units,shape_factor,density,density_units,ng/particle
Allen,2020,https://doi.org/10.1371/journal.pone.0232746,fragment,concentration,,44.21666666666667,-1.283333333333333,2018-10-05,2018-10-13,8 days,20025.94131204858,particle/m3,8,1,0.0871,100.0,µm,10.0,200.0,0.015928058700123454,µg/m3,2.7,537.125105266878,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Allen,2021,https://doi.org/10.1038/s41467-021-27454-7,fragment,concentration,,42.936802,0.14117,2017-06-23,2017-10-23,97 days,523.7964243537144,particle/m3,15,1,0.0871,100.0,µm,10.0,200.0,0.00041661263578162723,µg/m3,2.7,14.048988019361307,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-73.86,76.97,2020-01-21,2020-01-30,8 days,3.828472996473845,particle/m3,2,1,0.0871,100.0,µm,10.0,200.0,3.0450574916538035e-06,µg/m3,2.7,0.10268525854538493,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-69.3,76.23,2019-11-22,2019-11-25,3 days,6.829168047764096,particle/m3,1,1,0.0871,100.0,µm,10.0,200.0,5.431724174301333e-06,µg/m3,2.7,0.18316829902690124,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-68.97,76.42,2019-11-20,2019-11-22,2 days,6.829168047764096,particle/m3,1,1,0.0871,100.0,µm,10.0,200.0,5.431724174301333e-06,µg/m3,2.7,0.18316829902690124,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-65.62,77.77,2019-11-18,2019-11-20,2 days,8.898612910722921,particle/m3,1,1,0.0871,100.0,µm,10.0,200.0,7.077701196816894e-06,µg/m3,2.7,0.23867384418656853,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-65.42,82.0,2020-03-12,2020-03-14,2 days,6.001390102580501,particle/m3,1,1,0.0871,100.0,µm,10.0,200.0,4.773333365295057e-06,µg/m3,2.7,0.1609660809630326,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-65.22,152.27,2020-03-20,2020-03-24,4 days,35.801396129188305,particle/m3,2,2,0.0871,100.0,µm,10.0,200.0,2.847540248951972e-05,µg/m3,2.7,0.9602459312622607,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-64.04,103.43,2020-03-14,2020-03-16,2 days,1.0347224314792536,particle/m3,1,1,0.0871,100.0,µm,10.0,200.0,8.229885112576543e-07,µg/m3,2.7,0.027752772579829367,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-64.39,128.36,2020-03-16,2020-03-18,2 days,3.7250007533256957,particle/m3,1,1,0.0871,100.0,µm,10.0,200.0,2.9627586405278605e-06,µg/m3,2.7,0.09990998128739599,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
