author,year,doi,measure,lat,lon,number,number_units,mass,mass_units,size_min,size_max,size_units,shape,area,notes,alpha,c,c_units,shape_factor,density,density_units,ng/particle
Gaston,2020.0,https://doi.org/10.1177/0003702820920652,concentration,34.17,-118.96,4784527.577515766,particle/m3,0.09860080019137202,µg/m3,0.136,100.0,µm,Fibers + Fragments,land,size range from table 2; count is particles identified via Nile red fluorescence,3.6,69504.60622353702,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.060826248650609e-05
Liu,2019.0,https://doi.org/10.1016/j.scitotenv.2019.04.110,concentration,31.1,121.5,882225.5039947375,particle/m3,0.018181134758613684,µg/m3,0.136,100.0,µm,Fibers + Fragments,land,size range from section 3.2,3.6,12816.04824344095,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506096e-05
Liu,2019.0,https://doi.org/10.1021/acs.est.9b03427,concentration,28.0,123.0,194176.1477049024,particle/m3,0.004001633020521207,µg/m3,0.136,100.0,µm,Fibers + Fragments,ocean,size range from results section,3.6,2820.787729943465,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506096e-05
Liu,2019.0,https://doi.org/10.1021/acs.est.9b03427,concentration,20.0,130.0,3431.9264651663075,particle/m3,7.072604142853427e-05,µg/m3,0.136,100.0,µm,Fibers + Fragments,ocean,size range from results section,3.6,49.85543372567874,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.060826248650609e-05
Liu,2019.0,https://doi.org/10.1021/acs.est.9b03427,concentration,12.0,142.0,5723.336110333864,particle/m3,0.0001179480128602591,µg/m3,0.136,100.0,µm,Fibers + Fragments,ocean,size range from results section,3.6,83.14263345520332,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506096e-05
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,concentration,40.85,121.81,11607.870551310009,particle/m3,0.00023921804323078088,µg/m3,0.136,100.0,µm,Fibers,land,size range from section 3.3,3.6,168.6269874488847,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,concentration,38.84,117.44,13542.51564319501,particle/m3,0.0002790877171025777,µg/m3,0.136,100.0,µm,Fibers,land,size range from section 3.3,3.6,196.73148535703214,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,concentration,38.22,118.95,7496.7497310543795,particle/m3,0.00015449498625321262,µg/m3,0.136,100.0,µm,Fibers,land,size range from section 3.3,3.6,108.90492939407136,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,concentration,35.87,120.41,10156.886732396257,particle/m3,0.00020931578782693323,µg/m3,0.136,100.0,µm,Fibers,land,size range from section 3.3,3.6,147.5486140177741,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,concentration,34.77,119.35,18862.78964587876,particle/m3,0.0003887293202500189,µg/m3,0.136,100.0,µm,Fibers,land,size range from section 3.3,3.6,274.0188546044376,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506096e-05
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,concentration,31.85,120.88,77385.80367540005,particle/m3,0.0015947869548718725,µg/m3,0.136,100.0,µm,Fibers,land,size range from section 3.3,3.6,1124.179916325898,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506096e-05
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,concentration,30.7,121.78,103987.17368881885,particle/m3,0.002142994970609079,µg/m3,0.136,100.0,µm,Fibers,land,size range from section 3.3,3.6,1510.6167625629255,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,concentration,29.88,122.34,10156.886732396257,particle/m3,0.00020931578782693323,µg/m3,0.136,100.0,µm,Fibers,land,size range from section 3.3,3.6,147.5486140177741,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,concentration,28.66,122.03,5320.274002683754,particle/m3,0.00010964160314744123,µg/m3,0.136,100.0,µm,Fibers,land,size range from section 3.3,3.6,77.28736924740548,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
Trainic,2020.0,https://doi.org/10.1038/s43247-020-00061-y,concentration,46.05,-8.0,19866.601192958875,particle/m3,0.0004094161320992316,µg/m3,0.136,100.0,µm,Not reported,ocean,size range from table 1,3.6,288.6011775552583,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
Trainic,2020.0,https://doi.org/10.1038/s43247-020-00061-y,concentration,43.85,-12.45,22704.687077667284,particle/m3,0.00046790415097055035,µg/m3,0.136,100.0,µm,Not reported,ocean,size range from table 1,3.6,329.82991720600944,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
Trainic,2020.0,https://doi.org/10.1038/s43247-020-00061-y,concentration,39.35,-19.75,19866.601192958875,particle/m3,0.0004094161320992316,µg/m3,0.136,100.0,µm,Not reported,ocean,size range from table 1,3.6,288.6011775552583,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
Trainic,2020.0,https://doi.org/10.1038/s43247-020-00061-y,concentration,38.4,-21.8,11352.343538833642,particle/m3,0.00023395207548527517,µg/m3,0.136,100.0,µm,Not reported,ocean,size range from table 1,3.6,164.91495860300472,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
Trainic,2020.0,https://doi.org/10.1038/s43247-020-00061-y,concentration,36.4,-30.35,17028.515308250462,particle/m3,0.00035092811322791275,µg/m3,0.136,100.0,µm,Not reported,ocean,size range from table 1,3.6,247.37243790450705,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
Trainic,2020.0,https://doi.org/10.1038/s43247-020-00061-y,concentration,32.2,-38.45,19866.601192958875,particle/m3,0.0004094161320992316,µg/m3,0.136,100.0,µm,Not reported,ocean,size range from table 1,3.6,288.6011775552583,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
Trainic,2020.0,https://doi.org/10.1038/s43247-020-00061-y,concentration,26.5,-50.4,8514.257654125231,particle/m3,0.00017546405661395637,µg/m3,0.136,100.0,µm,Not reported,ocean,size range from table 1,3.6,123.68621895225353,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
