author,year,doi,shape,measure,height,lat,lon,start_date,end_date,duration,number,number_units,n_obs,n_loc,size_min,size_max,size_units,obs_size_min,obs_size_max,mass,mass_units,alpha,c,c_units,shape_factor,density,density_units,ng/particle
Allen,2020,https://doi.org/10.1371/journal.pone.0232746,fragment,concentration,,44.21666666666667,-1.283333333333333,2018-10-05,2018-10-13,8 days,308917.0980594389,particle/m3,8,1,0.0871,100.0,µm,50.0,1000.0,0.24570378963420583,µg/m3,2.7,8285.60946166784,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Allen,2021,https://doi.org/10.1038/s41467-021-27454-7,fragment,concentration,,42.936802,0.14117,2017-06-23,2017-10-23,97 days,8080.003274947547,particle/m3,15,1,0.0871,100.0,µm,50.0,1000.0,0.0064266025978575525,µg/m3,2.7,216.7175336223412,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-73.86,76.97,2020-01-21,2020-01-30,8 days,59.057437033337685,particle/m3,2,1,0.0871,100.0,µm,50.0,1000.0,4.697258965699127e-05,µg/m3,2.7,1.5840070431165443,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-69.3,76.23,2019-11-22,2019-11-25,3 days,105.3456984918987,particle/m3,1,1,0.0871,100.0,µm,50.0,1000.0,8.378894371247015e-05,µg/m3,2.7,2.8255260769105672,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-68.97,76.42,2019-11-20,2019-11-22,2 days,105.3456984918987,particle/m3,1,1,0.0871,100.0,µm,50.0,1000.0,8.378894371247015e-05,µg/m3,2.7,2.8255260769105672,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-65.62,77.77,2019-11-18,2019-11-20,2 days,137.26863742883785,particle/m3,1,1,0.0871,100.0,µm,50.0,1000.0,0.00010917953271624912,µg/m3,2.7,3.6817461002168037,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-65.42,82.0,2020-03-12,2020-03-14,2 days,92.57652291712208,particle/m3,1,1,0.0871,100.0,µm,50.0,1000.0,7.363270811095781e-05,µg/m3,2.7,2.483038067588047,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-65.22,152.27,2020-03-20,2020-03-24,4 days,552.2668436090568,particle/m3,2,2,0.0871,100.0,µm,50.0,1000.0,0.00043925718976538345,µg/m3,2.7,14.812606403198144,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-64.04,103.43,2020-03-14,2020-03-16,2 days,15.961469468467111,particle/m3,1,1,0.0871,100.0,µm,50.0,1000.0,1.2695294501887518e-05,µg/m3,2.7,0.4281100116530522,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-64.39,128.36,2020-03-16,2020-03-18,2 days,57.461290086487516,particle/m3,1,1,0.0871,100.0,µm,50.0,1000.0,4.5703060206799764e-05,µg/m3,2.7,1.5411960419511463,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695925
