author,year,doi,shape,measure,height,lat,lon,start_date,end_date,duration,number,number_units,n_obs,n_loc,size_min,size_max,size_units,obs_size_min,obs_size_max,mass,mass_units,alpha,c,c_units,shape_factor,density,density_units,ng/particle
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-34.27,153.05,2020-04-04,2020-04-06,2 days,194.23691004109997,particle/m3,1,1,0.0871,100.0,µm,50.0,500.0,0.00015449046098042082,µg/m3,2.7,5.2097186907148885,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695925
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-24.05,155.57,2020-04-06,2020-04-08,2 days,297.82992872968197,particle/m3,1,1,0.0871,100.0,µm,50.0,500.0,0.00023688537350330827,µg/m3,2.7,7.9882353257627035,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-13.66,155.27,2020-04-08,2020-04-10,2 days,255.74526488744516,particle/m3,1,1,0.0871,100.0,µm,50.0,500.0,0.00020341244029088495,µg/m3,2.7,6.8594629427745195,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-4.71,152.56,2020-04-10,2020-04-12,2 days,2573.6390580445704,particle/m3,1,1,0.0871,100.0,µm,50.0,500.0,0.0020469986079905728,µg/m3,2.7,69.02877265197216,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,5.12,146.94,2020-04-12,2020-04-14,2 days,362.5755654100519,particle/m3,1,1,0.0871,100.0,µm,50.0,500.0,0.00028838219383011787,µg/m3,2.7,9.724808222667756,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,12.79,139.81,2020-04-14,2020-04-16,2 days,106.83030052260172,particle/m3,1,1,0.0871,100.0,µm,50.0,500.0,8.496975353922888e-05,µg/m3,2.7,2.865345279893101,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,18.67,134.05,2020-04-16,2020-04-18,2 days,233.08429204931693,particle/m3,1,1,0.0871,100.0,µm,50.0,500.0,0.00018538855317650258,µg/m3,2.7,6.251662428857785,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695925
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,24.97,128.18,2020-04-18,2020-04-20,2 days,317.2536197337954,particle/m3,1,1,0.0871,100.0,µm,50.0,500.0,0.00025233441960135307,µg/m3,2.7,8.509207194834286,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,30.2,123.06,2020-04-20,2020-04-22,2 days,25.89825467214299,particle/m3,1,1,0.0871,100.0,µm,50.0,500.0,2.059872813071986e-05,µg/m3,2.7,0.6946291587618867,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Ding,2021,https://doi.org/10.1016/j.atmosenv.2021.118389,fragment,concentration,,18.271666666666672,111.057,2019-10-03,2019-10-06,3 days,348.23000317554016,particle/m3,3,3,0.0871,100.0,µm,50.0,500.0,0.0002769721455433937,µg/m3,2.7,9.340039212050074,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695925
Ding,2021,https://doi.org/10.1016/j.atmosenv.2021.118389,fragment,concentration,,19.34133333333333,112.51566666666668,2019-10-01,2019-10-07,3 days,427.42770065871713,particle/m3,3,3,0.0871,100.0,µm,50.0,500.0,0.00033996372006017824,µg/m3,2.7,11.464237567308023,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Ding,2021,https://doi.org/10.1016/j.atmosenv.2021.118389,fragment,concentration,,20.551375,114.576625,2019-09-27,2019-10-01,4 days,514.7430338010797,particle/m3,4,4,0.0871,100.0,µm,50.0,500.0,0.00040941182889267725,µg/m3,2.7,13.806162811904999,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Ding,2021,https://doi.org/10.1016/j.atmosenv.2021.118389,fragment,concentration,,22.836,113.65,2019-10-08,2019-10-09,1 days,877.3066488922194,particle/m3,1,1,0.0871,100.0,µm,50.0,500.0,0.0006977845177822704,µg/m3,2.7,23.530650509499612,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Ding,2021,https://doi.org/10.1016/j.atmosenv.2021.118389,fragment,concentration,,22.018,114.4815,2019-09-26,2019-09-27,1 days,641.3095503463621,particle/m3,1,1,0.0871,100.0,µm,50.0,500.0,0.0005100792019559602,µg/m3,2.7,17.200862340048804,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Gaston,2020,https://doi.org/10.1177/0003702820920652,fragment,concentration,,34.15,-119.0333333333333,2019-01-01,2019-03-31,89 days,279998.9304690718,particle/m3,1,1,0.0871,100.0,µm,50.0,500.0,0.22270310948129585,µg/m3,2.7,7509.981811058679,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695925
Guo,2024,https://doi.org/10.1007/s10653-024-02125-w,fragment,concentration,,29.633333333333333,91.16666666666669,2023-02-20,2023-02-23,2 days,327248.7499857277,particle/m3,2,1,0.0871,100.0,µm,50.0,500.0,0.2602842592062646,µg/m3,2.7,8777.291241674833,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Kaushik,2024,https://doi.org/10.1016/j.scitotenv.2023.168705,fragment,concentration,,15.45,73.2,2016-03-01,2020-11-30,118 days,22919.40397862,particle/m3,4,1,0.0871,100.0,µm,50.0,500.0,0.01822943582300741,µg/m3,2.7,614.7320159808778,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Kyriakoudes,2023,https://doi.org/10.1016/j.chemosphere.2023.140258,fragment,concentration,,50.37510000000001,-4.1384,2021-11-05,2021-12-17,42 days,1356.5233898240574,particle/m3,12,1,0.0871,100.0,µm,50.0,500.0,0.0010789397534191486,µg/m3,2.7,36.38394606289264,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Li,2021,https://doi.org/10.1016/j.scitotenv.2021.150767,fragment,concentration,,18.24,109.43,2020-07-31,2020-08-02,2 days,94.49963903331174,particle/m3,1,1,0.0871,100.0,µm,50.0,500.0,7.516229944993736e-05,µg/m3,2.7,2.5346188612323046,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
