author,year,doi,shape,measure,height,lat,lon,start_date,end_date,duration,number,number_units,n_obs,n_loc,size_min,size_max,size_units,obs_size_min,obs_size_max,mass,mass_units,alpha,c,c_units,shape_factor,density,density_units,ng/particle
Allen,2020,https://doi.org/10.1371/journal.pone.0232746,fragment,concentration,,44.21666666666667,-1.283333333333333,2018-10-05,2018-10-13,8 days,19928.736103895226,particle/m3,8,1,0.0871,100.0,µm,10.0,500.0,0.015850744468682416,µg/m3,2.7,534.5179190753132,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Allen,2021,https://doi.org/10.1038/s41467-021-27454-7,fragment,concentration,,42.936802,0.14117,2017-06-23,2017-10-23,97 days,521.253935106098,particle/m3,15,1,0.0871,100.0,µm,10.0,500.0,0.0004145904128384238,µg/m3,2.7,13.980794730292576,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695924
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-73.86,76.97,2020-01-21,2020-01-30,8 days,3.809889724470155,particle/m3,2,1,0.0871,100.0,µm,10.0,500.0,3.0302768906971312e-06,µg/m3,2.7,0.10218682794601133,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-69.3,76.23,2019-11-22,2019-11-25,3 days,6.796019508514269,particle/m3,1,1,0.0871,100.0,µm,10.0,500.0,5.40535877800024e-06,µg/m3,2.7,0.18227920660639696,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-68.97,76.42,2019-11-20,2019-11-22,2 days,6.796019508514269,particle/m3,1,1,0.0871,100.0,µm,10.0,500.0,5.40535877800024e-06,µg/m3,2.7,0.18227920660639696,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-65.62,77.77,2019-11-18,2019-11-20,2 days,8.85541935957921,particle/m3,1,1,0.0871,100.0,µm,10.0,500.0,7.043346286485169e-06,µg/m3,2.7,0.23751532982045692,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-65.42,82.0,2020-03-12,2020-03-14,2 days,5.972259568088231,particle/m3,1,1,0.0871,100.0,µm,10.0,500.0,4.750163774606219e-06,µg/m3,2.7,0.1601847573207713,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-65.22,152.27,2020-03-20,2020-03-24,4 days,35.62761742342407,particle/m3,2,2,0.0871,100.0,µm,10.0,500.0,2.8337183896789747e-05,µg/m3,2.7,0.9555849316032533,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695924
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-64.04,103.43,2020-03-14,2020-03-16,2 days,1.029699925532311,particle/m3,1,1,0.0871,100.0,µm,10.0,500.0,8.18993754242338e-07,µg/m3,2.7,0.02761806160702571,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-64.39,128.36,2020-03-16,2020-03-18,2 days,3.706919731916701,particle/m3,1,1,0.0871,100.0,µm,10.0,500.0,2.9483775152727203e-06,µg/m3,2.7,0.09942502178530278,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-64.74,146.33,2020-03-18,2020-03-20,2 days,0.8237599404257216,particle/m3,1,1,0.0871,100.0,µm,10.0,500.0,6.551950033937693e-07,µg/m3,2.7,0.022094449285617157,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-61.65,89.95,2019-11-16,2019-11-18,2 days,22.035578406395206,particle/m3,1,1,0.0871,100.0,µm,10.0,500.0,1.7526466340789018e-05,µg/m3,2.7,0.5910265183904508,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-60.89,109.6,2019-11-14,2019-11-16,2 days,33.77415755746572,particle/m3,1,1,0.0871,100.0,µm,10.0,500.0,2.6862995139153388e-05,µg/m3,2.7,0.905872420710602,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695924
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-60.34,129.58,2019-11-12,2019-11-14,2 days,13.38609903192227,particle/m3,1,1,0.0871,100.0,µm,10.0,500.0,1.0646918805152166e-05,µg/m3,2.7,0.35903480089139395,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-54.24,144.16,2019-11-10,2019-11-12,2 days,20.182118540436857,particle/m3,1,1,0.0871,100.0,µm,10.0,500.0,1.6052277583152656e-05,µg/m3,2.7,0.5413140074977993,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695925
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-45.85,147.42,2019-11-07,2019-11-10,3 days,61.987935517056066,particle/m3,1,1,0.0871,100.0,µm,10.0,500.0,4.930342400539745e-05,µg/m3,2.7,1.6626073087432411,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-44.41,150.09,2020-04-02,2020-04-04,2 days,3.089099776597251,particle/m3,1,1,0.0871,100.0,µm,10.0,500.0,2.456981262727267e-06,µg/m3,2.7,0.08285418482108566,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
