author,year,doi,shape,measure,height,lat,lon,start_date,end_date,duration,number,number_units,n_obs,n_loc,size_min,size_max,size_units,obs_size_min,obs_size_max,mass,mass_units,alpha,c,c_units,shape_factor,density,density_units,ng/particle
Allen,2020,https://doi.org/10.1371/journal.pone.0232746,fragment,concentration,,44.21666666666667,-1.283333333333333,2018-10-05,2018-10-13,8 days,64937.80273087335,particle/m3,8,1,0.0871,100.0,µm,20.0,500.0,0.0516496636855758,µg/m3,2.7,1741.7270721069558,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Allen,2021,https://doi.org/10.1038/s41467-021-27454-7,fragment,concentration,,42.936802,0.14117,2017-06-23,2017-10-23,97 days,1698.5063696033974,particle/m3,15,1,0.0871,100.0,µm,20.0,500.0,0.0013509431959285501,µg/m3,2.7,45.55643094893109,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695925
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-73.86,76.97,2020-01-21,2020-01-30,8 days,12.414528752060042,particle/m3,2,1,0.0871,100.0,µm,20.0,500.0,9.874159701956836e-06,µg/m3,2.7,0.33297586160292236,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-69.3,76.23,2019-11-22,2019-11-25,3 days,22.14483507124204,particle/m3,1,1,0.0871,100.0,µm,20.0,500.0,1.761336595484177e-05,µg/m3,2.7,0.5939569423187211,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-68.97,76.42,2019-11-20,2019-11-22,2 days,22.14483507124204,particle/m3,1,1,0.0871,100.0,µm,20.0,500.0,1.761336595484177e-05,µg/m3,2.7,0.5939569423187211,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-65.62,77.77,2019-11-18,2019-11-20,2 days,28.85539115343663,particle/m3,1,1,0.0871,100.0,µm,20.0,500.0,2.295074957752112e-05,µg/m3,2.7,0.7739438945365162,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-65.42,82.0,2020-03-12,2020-03-14,2 days,19.460612638364,particle/m3,1,1,0.0871,100.0,µm,20.0,500.0,1.5478412505769868e-05,µg/m3,2.7,0.5219621614315976,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-65.22,152.27,2020-03-20,2020-03-24,4 days,116.09262022196837,particle/m3,2,2,0.0871,100.0,µm,20.0,500.0,9.233673667235432e-05,µg/m3,2.7,3.1137742733679086,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-64.04,103.43,2020-03-14,2020-03-16,2 days,3.355278041096777,particle/m3,1,1,0.0871,100.0,µm,20.0,500.0,2.6686918113392625e-06,µg/m3,2.7,0.08999347610888367,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-64.39,128.36,2020-03-16,2020-03-18,2 days,12.079000947949641,particle/m3,1,1,0.0871,100.0,µm,20.0,500.0,9.607290520822332e-06,µg/m3,2.7,0.32397651399201455,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695924
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-64.74,146.33,2020-03-18,2020-03-20,2 days,2.6842224328770063,particle/m3,1,1,0.0871,100.0,µm,20.0,500.0,2.13495344907108e-06,µg/m3,2.7,0.07199478088709581,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
