author,year,doi,measure,lat,lon,number,number_units,mass,mass_units,size_min,size_max,size_units,shape,area,notes
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,concentration,30.7,121.78,0.43,particle/m3,0.02451,ug/m3,16.0,2986.0,µm,Fibers,land,size range from section 3.3
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,concentration,29.88,122.34,0.042,particle/m3,0.002394,ug/m3,16.0,2986.0,µm,Fibers,land,size range from section 3.3
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,concentration,28.66,122.03,0.022,particle/m3,0.001254,ug/m3,16.0,2986.0,µm,Fibers,land,size range from section 3.3
Trainic,2020.0,https://doi.org/10.1038/s43247-020-00061-y,concentration,46.05,-8.0,0.07,particle/m3,0.007,ug/m3,17.0,172.0,µm,Not reported,ocean,size range from table 1
Trainic,2020.0,https://doi.org/10.1038/s43247-020-00061-y,concentration,43.85,-12.45,0.08,particle/m3,0.008,ug/m3,17.0,172.0,µm,Not reported,ocean,size range from table 1
Trainic,2020.0,https://doi.org/10.1038/s43247-020-00061-y,concentration,39.35,-19.75,0.07,particle/m3,0.007,ug/m3,17.0,172.0,µm,Not reported,ocean,size range from table 1
Trainic,2020.0,https://doi.org/10.1038/s43247-020-00061-y,concentration,38.4,-21.8,0.04,particle/m3,0.004,ug/m3,17.0,172.0,µm,Not reported,ocean,size range from table 1
Trainic,2020.0,https://doi.org/10.1038/s43247-020-00061-y,concentration,36.4,-30.35,0.06,particle/m3,0.006,ug/m3,17.0,172.0,µm,Not reported,ocean,size range from table 1
Trainic,2020.0,https://doi.org/10.1038/s43247-020-00061-y,concentration,32.2,-38.45,0.07,particle/m3,0.007,ug/m3,17.0,172.0,µm,Not reported,ocean,size range from table 1
Trainic,2020.0,https://doi.org/10.1038/s43247-020-00061-y,concentration,26.5,-50.4,0.03,particle/m3,0.003,ug/m3,17.0,172.0,µm,Not reported,ocean,size range from table 1
Trainic,2020.0,https://doi.org/10.1038/s43247-020-00061-y,concentration,25.85,-67.65,0.07,particle/m3,0.007,ug/m3,17.0,172.0,µm,Not reported,ocean,size range from table 1
Trainic,2020.0,https://doi.org/10.1038/s43247-020-00061-y,concentration,25.95,-70.9,0.02,particle/m3,0.002,ug/m3,17.0,172.0,µm,Not reported,ocean,size range from table 1
Unknown-c1,,,concentration,30.0,50.6,6.2,particle/m3,0.3534,ug/m3,,,µm,,land,"North of Bushehr, Iran"
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,22.54,113.59,0.03,particle/m3,0.003,ug/m3,59.0,2252.0,µm,Fibers + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,22.24,113.67,0.077,particle/m3,0.0077,ug/m3,59.0,2252.0,µm,Fibers + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,22.02,114.48,0.019,particle/m3,0.0019,ug/m3,59.0,2252.0,µm,Fibers + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,17.31,113.19,0.0061,particle/m3,0.00061,ug/m3,59.0,2252.0,µm,Fibers + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,14.33,112.48,0.023,particle/m3,0.0023,ug/m3,59.0,2252.0,µm,Fibers + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,11.22,111.94,0.0034,particle/m3,0.00034,ug/m3,59.0,2252.0,µm,Fibers + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,5.54,109.83,0.007,particle/m3,0.0007,ug/m3,59.0,2252.0,µm,Fibers + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,1.85,108.35,0.008,particle/m3,0.0008,ug/m3,59.0,2252.0,µm,Fibers + Fragments,ocean,size range from section 3.2
