study,doi,lat,lon,particle/m3,ug/m3,size_low,size_high,size_units,shape,setting,notes
Trainic2020,https://doi.org/10.1038/s43247-020-00061-y,32.2,-38.45,0.07,0.007,17.0,172.0,um,Not reported,ocean,size range from table 1
Trainic2020,https://doi.org/10.1038/s43247-020-00061-y,26.5,-50.4,0.03,0.003,17.0,172.0,um,Not reported,ocean,size range from table 1
Trainic2020,https://doi.org/10.1038/s43247-020-00061-y,25.85,-67.65,0.07,0.007,17.0,172.0,um,Not reported,ocean,size range from table 1
Trainic2020,https://doi.org/10.1038/s43247-020-00061-y,25.95,-70.9,0.02,0.002,17.0,172.0,um,Not reported,ocean,size range from table 1
Unknown1,,30.0,50.6,6.2,0.3534,,,,,land,"North of Bushehr, Iran"
Unknown2,,30.7,121.78,1.42,0.08094,,,,,land,"Hangzhou Bay, China"
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,22.54,113.59,0.03,0.003,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,22.24,113.67,0.077,0.0077,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,22.02,114.48,0.019,0.0019,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,17.31,113.19,0.0061,0.00061,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,14.33,112.48,0.023,0.0023,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,11.22,111.94,0.0034,0.00034,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,5.54,109.83,0.007,0.0007,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,1.85,108.35,0.008,0.0008,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,-2.88,107.14,0.0018,0.00018,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,-6.55,104.38,0.0064,0.00064,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,-8.37,98.72,0.0008,8e-05,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,-9.34,93.0,0.0002,2e-05,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,-8.36,89.68,0.0005,5e-05,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,-4.19,88.21,0.008,0.0008,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,0.19,87.46,0.018,0.0018,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,2.73,87.28,0.012,0.0012,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,6.09,86.82,0.0001,1e-05,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,8.93,86.87,0.0016,0.00016,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,11.82,86.95,0.0015,0.00015,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,13.88,87.06,0.0014,0.00014,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,4.16,79.66,0.0014,0.00014,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
Wang2021,https://doi.org/10.1016/j.jhazmat.2021.125477,20.56,113.11,0.0039,0.00039,19.0,949.0,um,Fibers + Films + Fragments,ocean,size range from section 3.2; count is mean of all samples
Yuan2023,https://doi.org/10.1016/j.scitotenv.2023.161839,23.13,113.26,0.166,0.009462,13.0,334.0,um,Fibers,land,size range from section 3.2
