author,year,doi,measure,lat,lon,particle/m3,ug/m3,particle/m2/d,t/km2/yr,size_min_um,size_max_um,shape,area,notes
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,0.19,87.46,0.018,0.0018,,,59.0,2252.0,Fibers + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,2.73,87.28,0.012,0.0012,,,59.0,2252.0,Fibers + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,6.09,86.82,0.0001,1e-05,,,59.0,2252.0,Fibers + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,8.93,86.87,0.0016,0.00016,,,59.0,2252.0,Fibers + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,11.82,86.95,0.0015,0.00015,,,59.0,2252.0,Fibers + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,13.88,87.06,0.0014,0.00014,,,59.0,2252.0,Fibers + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,4.16,79.66,0.0014,0.00014,,,59.0,2252.0,Fibers + Fragments,ocean,size range from section 3.2
Trainic,2020.0,https://doi.org/10.1038/s43247-020-00061-y,concentration,46.0500015,-8.0,0.07,0.006802721,,,17.0,172.0,Not reported,ocean,size range from table 1
Trainic,2020.0,https://doi.org/10.1038/s43247-020-00061-y,concentration,43.8500005,-12.45,0.08,0.00792393,,,17.0,172.0,Not reported,ocean,size range from table 1
Trainic,2020.0,https://doi.org/10.1038/s43247-020-00061-y,concentration,39.3500005,-19.75,0.07,0.007462687,,,17.0,172.0,Not reported,ocean,size range from table 1
Trainic,2020.0,https://doi.org/10.1038/s43247-020-00061-y,concentration,38.3999995,-21.8,0.04,0.003748126,,,17.0,172.0,Not reported,ocean,size range from table 1
Trainic,2020.0,https://doi.org/10.1038/s43247-020-00061-y,concentration,36.3999995,-30.3500005,0.06,0.006451613,,,17.0,172.0,Not reported,ocean,size range from table 1
Trainic,2020.0,https://doi.org/10.1038/s43247-020-00061-y,concentration,32.2,-38.450001,0.07,0.007462687,,,17.0,172.0,Not reported,ocean,size range from table 1
Trainic,2020.0,https://doi.org/10.1038/s43247-020-00061-y,concentration,26.5,-50.3999995,0.03,0.003455425,,,17.0,172.0,Not reported,ocean,size range from table 1
Trainic,2020.0,https://doi.org/10.1038/s43247-020-00061-y,concentration,25.8499995,-67.650002,0.07,0.006570302,,,17.0,172.0,Not reported,ocean,size range from table 1
Trainic,2020.0,https://doi.org/10.1038/s43247-020-00061-y,concentration,25.95,-70.900002,0.02,0.001737318,,,17.0,172.0,Not reported,ocean,size range from table 1
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,29.96,-22.935,0.13,0.01291,,,1.0,50.0,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um)
