author,year,doi,shape,measure,height,grid_lat,grid_lon,lat,lon,start_date,end_date,duration,number,number_units,n_obs,n_loc
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-68.0,77.5,-68.97,76.42,2019-11-20,2019-11-22,2 days,0.002136614171791166,particle/m3,1,1
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-66.0,77.5,-65.62,77.77,2019-11-18,2019-11-20,2 days,0.002784073011727883,particle/m3,1,1
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-66.0,82.5,-65.42,82.0,2020-03-12,2020-03-14,2 days,0.0018776306358164793,particle/m3,1,1
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-66.0,152.5,-65.22,152.27,2020-03-20,2020-03-24,4 days,0.011201037930905199,particle/m3,2,2
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-64.0,102.5,-64.04,103.43,2020-03-14,2020-03-16,2 days,0.0003237294199683584,particle/m3,1,1
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-64.0,127.5,-64.39,128.36,2020-03-16,2020-03-18,2 days,0.00116542591188609,particle/m3,1,1
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-64.0,147.5,-64.74,146.33,2020-03-18,2020-03-20,2 days,0.0002589835359746867,particle/m3,1,1
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-62.0,90.0,-61.65,89.95,2019-11-16,2019-11-18,2 days,0.006927809587322869,particle/m3,1,1
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-60.0,110.0,-60.89,109.6,2019-11-14,2019-11-16,2 days,0.01061832497496216,particle/m3,1,1
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-60.0,130.0,-60.34,129.58,2019-11-12,2019-11-14,2 days,0.004208482459588659,particle/m3,1,1
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-54.0,145.0,-54.24,144.16,2019-11-10,2019-11-12,2 days,0.006345096631379825,particle/m3,1,1
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-46.0,147.5,-45.85,147.42,2019-11-07,2019-11-10,3 days,0.01948851108209518,particle/m3,1,1
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-44.0,150.0,-44.41,150.09,2020-04-02,2020-04-04,2 days,0.0009711882599050753,particle/m3,1,1
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-34.0,152.5,-34.27,153.05,2020-04-04,2020-04-06,2 days,0.003884753039620301,particle/m3,1,1
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-24.0,155.0,-24.05,155.57,2020-04-06,2020-04-08,2 days,0.005956621327417796,particle/m3,1,1
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-14.0,155.0,-13.66,155.27,2020-04-08,2020-04-10,2 days,0.005114924835500063,particle/m3,1,1
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-4.0,152.5,-4.71,152.56,2020-04-10,2020-04-12,2 days,0.051472977774968995,particle/m3,1,1
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,6.0,147.5,5.12,146.94,2020-04-12,2020-04-14,2 days,0.007251539007291228,particle/m3,1,1
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,12.0,140.0,12.79,139.81,2020-04-14,2020-04-16,2 days,0.002136614171791166,particle/m3,1,1
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,18.0,135.0,18.67,134.05,2020-04-16,2020-04-18,2 days,0.004661703647544361,particle/m3,1,1
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,24.0,127.5,24.97,128.18,2020-04-18,2020-04-20,2 days,0.006345096631379825,particle/m3,1,1
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,30.0,122.5,30.2,123.06,2020-04-20,2020-04-22,2 days,0.0005179670719493735,particle/m3,1,1
Ding,2021,https://doi.org/10.1016/j.atmosenv.2021.118389,fiber,concentration,,18.0,110.0,18.271666666666672,111.05699999999999,2019-10-03,2019-10-06,3 days,0.016167883333333334,particle/m3,3,3
