study,doi,lat,lon,sub_type1,sub_type2,psd,psd_id,shape,low_size,high_size,density,shape_factor,slope,log_intercept,alpha,scale
Dris2017,10.1016/j.envpol.2016.12.013,48.8,2.5,Aerosol,Outdoor,Dri17_B,Dri17_B_1,Fibers,50.0,1650.0,1e-06,0.0001060287520586555,-0.9566953633755697,2.029741079854495,-1.9566953633755697,102.45065728432914
Ferrero2022,10.1016/j.scitotenv.2022.153709,56.0,18.0,Aerosol,Outdoor,Fer22_A,Fer22_A_1,Fibers,1.0,2400.0,1e-06,0.0001060287520586555,-0.5896981259837342,2.4948113414792834,-1.5896981259837342,184.26425224408203
Gaston2020,10.1177/0003702820920652,34.17,-118.96,Aerosol,Outdoor,Gas20_A,Gas20_A_1,Fibers,20.0,3100.0,1e-06,0.0001060287520586555,-0.7637001592749504,1.4533300858416953,-1.7637001592749504,21.68967112763405
Gaston2020,10.1177/0003702820920652,34.17,-118.96,Aerosol,Outdoor,Gas20_B,Gas20_B_1,Fragments,20.0,225.0,1e-06,9.4e-08,-1.7959835915692366,3.874333732167775,-2.795983591569237,13447.33105429699
Gonzales-Pleiter2020,10.1016/j.scitotenv.2020.143213,40.01,-3.0,Aerosol,Outdoor,Gon20_A,Gon20_A_1,Fragments,10.0,5000.0,1e-06,9.4e-08,-0.9367313987080723,1.607431291345995,-1.9367313987080723,37.93554861637314
Gonzales-Pleiter2020,10.1016/j.scitotenv.2020.143213,41.65,-4.72,Aerosol,Outdoor,Gon20_A,Gon20_A_2,Fragments,10.0,5000.0,1e-06,9.4e-08,-0.9367313987080723,1.9364900106102196,-1.9367313987080723,80.92917038159604
Gonzales-Pleiter2020,10.1016/j.scitotenv.2020.143213,40.63,-3.16,Aerosol,Outdoor,Gon20_A,Gon20_A_3,Fragments,10.0,5000.0,1e-06,9.4e-08,-0.9367313987080723,1.9995417563573088,-1.9367313987080723,93.5743532537204
Gonzales-Pleiter2020,10.1016/j.scitotenv.2020.143213,40.42,-3.7,Aerosol,Outdoor,Gon20_A,Gon20_A_4,Fragments,10.0,5000.0,1e-06,9.4e-08,-0.9367313987080723,2.574354832544409,-1.9367313987080723,351.5360838450581
Kernchen2022,10.1016/j.scitotenv.2021.151812,50.62,5.62,Total deposition,Outdoor,Ker22_A,Ker22_A_1,Fragments,11.0,500.0,1e-06,9.4e-08,-1.7454301780394195,4.60584169185076,-2.7454301780394195,70427.80812899079
Kernchen2024,10.1007/s11869-024-01571-w,51.325,9.525,Total deposition,Outdoor,Ker24_A,Ker24_A_1,Fragments,1.0,90.0,1e-06,9.4e-08,-2.1417553288768723,4.182606109525166,-3.1417553288768723,32611.889766059743
