study,doi,lat,lon,sub_type1,sub_type2,psd,psd_id,shape,low_size,high_size,lod_min,lod_max,density,shape_factor,slope,log_intercept,alpha,scale
Liao2021,10.1016/j.jhazmat.2021.126007,28.0,120.7,Aerosol,Indoor,Lia21_A,Lia21_A_1,Fragments,5.0,5000.0,5.0,5000.0,1.14e-06,1.1058000000000001e-07,-0.9415930375599395,3.8609666204821953,-1.9415930375599395,6836.437677329544
Liao2021,10.1016/j.jhazmat.2021.126007,28.0,120.7,Aerosol,Outdoor,Lia21_B,Lia21_B_1,Fragments,5.0,5000.0,5.0,5000.0,1.14e-06,1.1058000000000001e-07,-1.052399292421806,3.255842645216857,-2.052399292421806,1896.8072137262398
Liao2021,10.1016/j.jhazmat.2021.126007,27.95,120.7,Aerosol,Outdoor,Lia21_B,Lia21_B_2,Fragments,5.0,5000.0,5.0,5000.0,1.14e-06,1.1058000000000001e-07,-1.052399292421806,2.9099160006653366,-2.052399292421806,855.2568240462052
Liu2019,10.1016/j.scitotenv.2019.04.110,31.2,121.4,Aerosol,Outdoor,Liu19_A,Liu19_A_1,Fibers,23.0,5000.0,100.0,2000.0,1.14e-06,0.00012081150000000001,-0.580446156725035,0.9709453954886113,-1.580446156725035,5.428843665623289
Liu2019,10.1021/acs.est.9b03427,29.0,122.5,Aerosol,Outdoor,Liu19b_A,Liu19b_A_1,Fibers,16.0,3000.0,200.0,1800.0,1.14e-06,0.00012081150000000001,-1.2697728741339338,1.7615719115057327,-2.269772874133934,73.33274749020131
Liu2019,10.1021/acs.est.9b03427,29.0,122.5,Aerosol,Outdoor,Liu19b_B,Liu19b_B_1,Fragments,16.0,600.0,50.0,300.0,1.14e-06,1.1058000000000001e-07,-1.0871599003760135,0.4716602263456664,-2.0871599003760135,3.2207250529228086
Maurizi2024,10.1016/j.chemosphere.2024.142553,57.05,9.92,Aerosol,Indoor,Mau24_A,Mau24_A_1,Fragments,1.0,100.0,5.0,50.0,1.14e-06,1.1058000000000001e-07,-1.7410026551866633,3.355956849765679,-2.741002655186663,3951.448110169041
Roblin2020,10.1021/acs.est.0c04000,55.37175,-7.33945,Total deposition,Outdoor,Rob20_A,Rob20_A_4,Fibers,50.0,4000.0,400.0,3000.0,1.14e-06,0.00012081150000000001,-1.2415701204426708,4.4431704707525554,-2.241570120442671,34446.23206288452
Syafei2019,10.12944/cwe.14.2.13,-7.276,112.735,Aerosol,Outdoor,Sya19_A,Sya19_A_1,Fibers,250.0,5000.0,500.0,3500.0,1.14e-06,0.00012081150000000001,-1.4613398199441714,6.094784742247086,-2.4613398199441714,1817757.5651123445
Szewc2021,10.1016/j.scitotenv.2020.143272,54.51,18.54,Total deposition,Outdoor,Scz21_A,Scz21_A_1,Fibers,75.0,5000.0,900.0,5000.0,1.14e-06,0.00012081150000000001,-1.2800832178610533,4.1189533004147965,-2.280083217861053,16834.16208315108
Szewc2021,10.1016/j.scitotenv.2020.143272,54.51,18.54,Total deposition,Outdoor,Scz21_B,Scz21_B_1,Fragments,5.0,750.0,190.0,750.0,1.14e-06,1.1058000000000001e-07,-2.5525794534903263,5.282693925402274,-3.5525794534903263,489410.40073024336
Szewc2021,10.1016/j.scitotenv.2020.143272,54.51,18.54,Total deposition,Outdoor,Scz21_C,Scz21_C_1,Films,10.0,1520.0,10.0,1520.0,1.14e-06,1.0348920000000002e-05,-0.7288001845283304,0.8353693403173628,-1.7288001845283305,4.988590028002132
Truong2021,10.1016/j.chemosphere.2021.129874,10.8,106.6,Total deposition,Outdoor,Tru21_A,Tru21_A_1,Fibers,300.0,4000.0,600.0,2500.0,1.14e-06,0.00012081150000000001,-1.7393173948955318,7.091999280480269,-2.739317394895532,21497013.086343072
Vianello2019,10.1038/s41598-019-45054-w,56.16,10.2,Aerosol,Indoor,Via19_A,Via19_A_1,Fragments,11.220184543019636,446.6835921509633,28.183829312644548,223.87211385683392,1.14e-06,1.1058000000000001e-07,-2.103628274983731,4.018028785849191,-3.103628274983731,21927.93753627894
Wang2020,10.1016/j.jhazmat.2019.121846,22.5,113.7,Aerosol,Outdoor,Wan20_A,Wan20_A_1,Fibers,60.0,2500.0,250.0,1000.0,1.14e-06,0.00012081150000000001,-0.6715013268254484,0.2196872087794186,-1.6715013268254484,1.1136124660989923
Wang2020,10.1016/j.jhazmat.2019.121846,15.0,112.0,Aerosol,Outdoor,Wan20_A,Wan20_A_2,Fibers,60.0,2500.0,250.0,1000.0,1.14e-06,0.00012081150000000001,-0.6715013268254489,-0.7045920772824616,-1.671501326825449,0.13257291263083296
Wang2020,10.1016/j.jhazmat.2019.121846,0.0,87.0,Aerosol,Outdoor,Wan20_A,Wan20_A_3,Fibers,60.0,2500.0,250.0,1000.0,1.14e-06,0.00012081150000000001,-0.6715013268254489,-0.577487278917654,-1.671501326825449,0.17764770292531615
Wright2020,10.1016/j.envint.2019.105411,51.5111,-0.1171,Total deposition,Outdoor,Wri20_A,Wri20_A_1,Fragments,25.0,350.0,75.0,275.0,1.14e-06,1.1058000000000001e-07,-1.510852432847001,4.574776883862791,-2.5108524328470008,56754.3209857389
Wright2020,10.1016/j.envint.2019.105411,51.5111,-0.1171,Total deposition,Outdoor,Wri20_B,Wri20_B_1,Fibers,100.0,2900.0,400.0,2000.0,1.14e-06,0.00012081150000000001,-1.7610281638730787,7.519543938623926,-2.7610281638730787,58251919.443619885
Xie2022,10.1016/j.envint.2022.107151,31.23,121.47,Aerosol,Indoor,Xie21_A,Xie21_A_1,Fragments,1.0,200.0,15.0,145.0,1.14e-06,1.1058000000000001e-07,-0.8893821511106749,2.8090134726857463,-1.889382151110675,572.9304202181592
Xie2022,10.1016/j.envint.2022.107151,31.23,121.47,Aerosol,Outdoor,Xie22_A,Xie22_A_2,Fragments,2.0,200.0,15.0,145.0,1.14e-06,1.1058000000000001e-07,-0.889382151110675,2.5332048574147774,-1.889382151110675,303.59405772384935
Yakovenko2025,10.1371/journal.pone.0328011,43.6,1.44,Aerosol,Indoor,Yak25_A,Yak25_A_1,Fragments,1.0,28.0,3.0,15.0,1.14e-06,1.1058000000000001e-07,-2.339498077891262,4.719398867808008,-3.339498077891262,122608.77702229586
Zhu2021,10.1021/acs.est.1c03618,40.0,116.34,Aerosol,Outdoor,Zhu21_A,Zhu21_A_1,Fragments,5.0,1000.0,5.0,1000.0,1.14e-06,1.1058000000000001e-07,-1.2680957905820565,3.70421239033115,-2.2680957905820565,6417.478926888625
Zhu2021,10.1021/acs.est.1c03618,39.1,117.2,Aerosol,Outdoor,Zhu21_A,Zhu21_A_2,Fragments,5.0,1000.0,5.0,1000.0,1.14e-06,1.1058000000000001e-07,-1.2680957905820565,3.6203648501623356,-2.2680957905820565,5290.745985526494
Zhu2021,10.1021/acs.est.1c03618,31.2,121.5,Aerosol,Outdoor,Zhu21_A,Zhu21_A_3,Fragments,5.0,1000.0,5.0,1000.0,1.14e-06,1.1058000000000001e-07,-1.2680957905820565,3.5363311013202985,-2.2680957905820565,4359.966599183868
Zhu2021,10.1021/acs.est.1c03618,32.06,118.8,Aerosol,Outdoor,Zhu21_A,Zhu21_A_4,Fragments,5.0,1000.0,5.0,1000.0,1.14e-06,1.1058000000000001e-07,-1.2680957905820565,3.35779310631753,-2.2680957905820565,2890.3149365376216
Zhu2021,10.1021/acs.est.1c03618,30.27,120.16,Aerosol,Outdoor,Zhu21_A,Zhu21_A_5,Fragments,5.0,1000.0,5.0,1000.0,1.14e-06,1.1058000000000001e-07,-1.2680957905820565,3.5007549470591024,-2.2680957905820565,4017.047877899749
