study,doi,lat,lon,particle/m3,ug/m3,size_low,size_high,size_units,shape,setting,notes,alpha,c,c_units,shape_factor,density,density_units,ng/particle
Liu2019,https://doi.org/10.1021/acs.est.9b03427,12.0,142.0,255.1532479825672,0.00012620506274595402,0.092,99.5,um,Fibers + Fragments,ocean,size range from results section,2.8,6.264597846918867,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Liu2020,https://doi.org/10.1016/j.jhazmat.2020.123223,40.85,121.81,517.455611997786,0.0002559462538563823,0.092,99.5,um,Fibers,land,size range from section 3.3,2.8,12.70472290056403,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Liu2020,https://doi.org/10.1016/j.jhazmat.2020.123223,38.84,117.44,603.698213997417,0.0002986039628324461,0.092,99.5,um,Fibers,land,size range from section 3.3,2.8,14.822176717324703,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Liu2020,https://doi.org/10.1016/j.jhazmat.2020.123223,38.22,118.95,334.19008274857015,0.00016529862228224692,0.092,99.5,um,Fibers,land,size range from section 3.3,2.8,8.205133539947603,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Liu2020,https://doi.org/10.1016/j.jhazmat.2020.123223,35.87,120.41,452.7736604980628,0.00022395297212433456,0.092,99.5,um,Fibers,land,size range from section 3.3,2.8,11.116632537993528,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Liu2020,https://doi.org/10.1016/j.jhazmat.2020.123223,34.77,119.35,840.8653694964023,0.00041591266251662137,0.092,99.5,um,Fibers,land,size range from section 3.3,2.8,20.64517471341655,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418352
Liu2020,https://doi.org/10.1016/j.jhazmat.2020.123223,31.85,120.88,3449.7040799852402,0.0017063083590425489,0.092,99.5,um,Fibers,land,size range from section 3.3,2.8,84.69815267042688,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Liu2020,https://doi.org/10.1016/j.jhazmat.2020.123223,30.7,121.78,4635.539857480167,0.002292851857463425,0.092,99.5,um,Fibers,land,size range from section 3.3,2.8,113.81314265088612,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Liu2020,https://doi.org/10.1016/j.jhazmat.2020.123223,29.88,122.34,452.7736604980628,0.00022395297212433456,0.092,99.5,um,Fibers,land,size range from section 3.3,2.8,11.116632537993528,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Liu2020,https://doi.org/10.1016/j.jhazmat.2020.123223,28.66,122.03,237.16715549898527,0.00011730869968417526,0.092,99.5,um,Fibers,land,size range from section 3.3,2.8,5.822997996091848,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418352
