author,year,doi,measure,lat,lon,number,number_units,mass,mass_units,size_min,size_max,size_units,shape,area,notes,alpha,c,c_units,shape_factor,density,density_units,ng/particle
Gaston,2020.0,https://doi.org/10.1177/0003702820920652,concentration,34.17,-118.96,93561.30178617191,particle/m3,0.07441597294672508,µg/m3,0.0871,100.0,µm,Fibers + Fragments,land,size range from table 2; count is particles identified via Nile red fluorescence,2.7,2509.4512806031444,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695925
Liu,2019.0,https://doi.org/10.1016/j.scitotenv.2019.04.110,concentration,31.1,121.5,18586.92011414127,particle/m3,0.014783502558974707,µg/m3,0.0871,100.0,µm,Fibers + Fragments,land,size range from section 3.2,2.7,498.5284470442656,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Liu,2019.0,https://doi.org/10.1021/acs.est.9b03427,concentration,28.0,123.0,5672.3650884610415,particle/m3,0.00451163631659999,µg/m3,0.0871,100.0,µm,Fibers + Fragments,ocean,size range from results section,2.7,152.1411477131772,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695925
Liu,2019.0,https://doi.org/10.1021/acs.est.9b03427,concentration,20.0,130.0,100.25505242157702,particle/m3,7.973998999957517e-05,µg/m3,0.0871,100.0,µm,Fibers + Fragments,ocean,size range from results section,2.7,2.688987486100214,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695928
Liu,2019.0,https://doi.org/10.1021/acs.est.9b03427,concentration,12.0,142.0,167.19279028608815,particle/m3,0.00013298034466484822,µg/m3,0.0871,100.0,µm,Fibers + Fragments,ocean,size range from results section,2.7,4.4843557505208524,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695928
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,concentration,40.85,121.81,339.0560362149824,particle/m3,0.0002696754356417801,µg/m3,0.0871,100.0,µm,Fibers,land,size range from section 3.3,2.7,9.093979968560742,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,concentration,38.84,117.44,395.5653755841461,particle/m3,0.00031462134158207687,µg/m3,0.0871,100.0,µm,Fibers,land,size range from section 3.3,2.7,10.609643296654198,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,concentration,38.22,118.95,218.97369005550945,particle/m3,0.0001741653855186497,µg/m3,0.0871,100.0,µm,Fibers,land,size range from section 3.3,2.7,5.873195396362146,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,concentration,35.87,120.41,296.6740316881096,particle/m3,0.0002359660061865576,µg/m3,0.0871,100.0,µm,Fibers,land,size range from section 3.3,2.7,7.957232472490649,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695925
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,concentration,34.77,119.35,550.9660588493464,particle/m3,0.00043822258291789277,µg/m3,0.0871,100.0,µm,Fibers,land,size range from section 3.3,2.7,14.777717448911206,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,concentration,31.85,120.88,2260.373574766549,particle/m3,0.0017978362376118674,µg/m3,0.0871,100.0,µm,Fibers,land,size range from section 3.3,2.7,60.62653312373828,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,concentration,30.7,121.78,3037.3769910925507,particle/m3,0.002415842444290947,µg/m3,0.0871,100.0,µm,Fibers,land,size range from section 3.3,2.7,81.46690388502331,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
